Date,Close,High,Low,Open,Volume
2012/12/27,5.919,5.986,5.746,5.774,26596705
2012/12/28,5.861,5.938,5.794,5.909,30613799
2012/12/31,6.351,6.437,5.832,5.861,54647943
2013/1/4,6.188,6.293,6.149,6.245,34304597
2013/1/7,6.207,6.341,6.12,6.188,41059501
2013/1/8,6.159,6.293,6.101,6.216,39796622
2013/1/9,6.178,6.197,5.957,6.159,26717156
2013/1/10,6.12,6.197,6.082,6.111,23238181
2013/1/11,6.111,6.197,5.957,6.178,26310867
2013/1/14,6.322,6.418,5.986,6.101,47205640
2013/1/15,6.399,6.485,6.236,6.293,47299149
2013/1/16,6.332,6.457,6.245,6.37,36832652
2013/1/17,6.284,6.389,6.245,6.293,28427094
2013/1/18,6.303,6.389,6.245,6.293,28747779
2013/1/21,6.293,6.351,6.245,6.264,23681418
2013/1/22,5.88,6.293,5.861,6.284,23952836
2013/1/23,5.774,5.861,5.65,5.832,9970584
2013/1/24,5.601,5.813,5.544,5.784,9342970
2013/1/25,5.669,5.746,5.505,5.592,7056905
2013/1/28,5.813,5.938,5.746,5.765,9857883
2013/1/29,5.765,5.794,5.678,5.765,7449695
2013/1/30,5.736,5.822,5.621,5.755,6906460
2013/1/31,5.63,5.726,5.621,5.698,5042182
2013/2/1,5.707,5.736,5.582,5.63,6911687
2013/2/4,5.64,5.774,5.621,5.736,5408176
2013/2/5,5.736,5.765,5.611,5.64,5990189
2013/2/6,5.851,5.89,5.688,5.707,7590633
2013/2/7,5.813,5.938,5.794,5.822,7263259
2013/2/8,5.813,5.89,5.784,5.813,5229276
2013/2/18,5.851,5.909,5.822,5.842,5370845
2013/2/19,5.688,5.88,5.669,5.832,5759304
2013/2/20,5.957,5.976,5.659,5.688,13206495
2013/2/21,5.861,6.034,5.803,5.88,8718012
2013/2/22,5.909,5.986,5.794,5.832,6077472
2013/2/25,5.957,5.995,5.89,5.89,6364191
2013/2/26,5.736,6.015,5.726,5.938,9155585
2013/2/27,5.659,5.803,5.563,5.717,6886887
2013/2/28,5.784,5.803,5.582,5.65,5406970
2013/3/1,5.784,5.803,5.688,5.765,4330853
2013/3/4,6.13,6.361,5.794,5.813,28446490
2013/3/5,6.418,6.524,5.986,6.14,30209924
2013/3/6,6.437,6.61,6.293,6.37,20753271
2013/3/7,6.264,6.581,6.216,6.389,14699862
2013/3/8,6.111,6.322,6.053,6.255,9700525
2013/3/11,6.14,6.245,6.072,6.13,5792483
2013/3/12,5.899,6.207,5.803,6.197,7567090
2013/3/13,5.832,5.947,5.717,5.842,6919862
2013/3/14,5.851,5.87,5.765,5.813,4072326
2013/3/15,5.794,5.957,5.726,5.861,5454013
2013/3/18,5.89,6.015,5.765,5.813,8276195
2013/3/19,5.813,5.928,5.698,5.89,6504329
2013/3/20,6.082,6.12,5.765,5.774,12045899
2013/3/21,6.236,6.322,6.024,6.053,15079763
2013/3/22,6.168,6.216,6.101,6.197,10805437
2013/3/25,6.332,6.341,6.111,6.216,12338602
2013/3/26,6.236,6.293,6.053,6.245,10937168
2013/3/27,6.197,6.264,6.111,6.207,7460500
2013/3/28,5.832,6.149,5.832,6.13,9301691
2013/3/29,5.861,5.986,5.813,5.832,5225469
2013/4/1,5.88,5.919,5.813,5.861,3522553
2013/4/2,5.688,5.928,5.65,5.851,7563610
2013/4/3,5.669,5.726,5.592,5.707,4417042
2013/4/8,5.755,5.784,5.457,5.573,4656482
2013/4/9,5.784,5.813,5.717,5.813,4223926
2013/4/10,5.89,6.034,5.784,5.794,9529336
2013/4/11,5.822,5.947,5.803,5.899,4100366
2013/4/12,5.669,5.822,5.65,5.765,4053060
2013/4/15,5.448,5.669,5.409,5.65,6063851
2013/4/16,5.4,5.448,5.361,5.4,5741717
2013/4/17,5.448,5.448,5.361,5.409,3626410
2013/4/18,5.361,5.429,5.313,5.429,3545044
2013/4/19,5.553,5.669,5.38,5.38,7369615
2013/4/22,5.601,5.621,5.477,5.496,4347205
2013/4/23,5.4,5.611,5.352,5.601,5313083
2013/4/24,5.15,5.304,5.054,5.284,12215496
2013/4/25,5.054,5.179,5.044,5.15,5413977
2013/4/26,4.929,5.092,4.89,5.054,4242833
2013/5/2,4.987,4.996,4.91,4.958,2621652
2013/5/3,5.073,5.15,4.977,4.987,3988885
2013/5/6,5.092,5.131,5.035,5.063,3489920
2013/5/7,5.083,5.121,5.035,5.073,2526617
2013/5/8,5.063,5.121,5.035,5.083,4146141
2013/5/9,4.967,5.073,4.919,5.073,4388712
2013/5/10,5.179,5.188,4.967,4.967,7205386
2013/5/13,5.16,5.179,5.092,5.16,3031489
2013/5/14,5.063,5.179,5.015,5.15,2766604
2013/5/15,5.131,5.236,5.025,5.063,4164415
2013/5/16,5.169,5.236,5.111,5.131,7804483
2013/5/17,5.188,5.208,5.092,5.16,5990565
2013/5/20,5.496,5.64,5.179,5.179,15714812
2013/5/21,5.467,5.477,5.38,5.438,6652153
2013/5/22,5.419,5.515,5.409,5.477,10747325
2013/5/23,5.246,5.515,5.227,5.4,12700671
2013/5/24,5.313,5.371,5.236,5.246,4582449
2013/5/27,5.275,5.332,5.227,5.265,7255595
2013/5/28,5.352,5.361,5.217,5.275,6182051
2013/5/29,5.361,5.4,5.294,5.352,5336626
2013/5/30,5.429,5.438,5.284,5.342,7944860
2013/5/31,5.553,5.698,5.4,5.457,17590576
2013/6/3,5.419,5.63,5.371,5.611,13754804
2013/6/4,5.275,5.4,5.236,5.38,6231328
2013/6/5,5.342,5.371,5.284,5.304,4826464
2013/6/6,5.198,5.342,5.188,5.323,3445058
2013/6/7,5.092,5.246,5.035,5.198,4226881
2013/6/13,4.958,5.035,4.842,5.035,3789679
2013/6/14,4.996,5.015,4.948,4.958,3090717
2013/6/17,5.025,5.044,4.929,4.996,3245843
2013/6/18,5.063,5.169,5.006,5.054,3419516
2013/6/19,5.246,5.438,5.102,5.14,12141495
2013/6/20,5.015,5.236,4.948,5.16,6996861
2013/6/21,5.227,5.294,4.842,4.967,9507957
2013/6/24,5.275,5.457,5.063,5.179,16620371
2013/6/25,5.092,5.342,4.746,5.236,13229770
2013/6/26,5.015,5.111,4.814,5.092,8588774
2013/6/27,4.881,5.102,4.881,4.996,6593584
2013/6/28,4.91,4.996,4.756,4.842,4570425
2013/7/1,5.092,5.131,4.852,4.9,7164875
2013/7/2,5.217,5.304,5.073,5.121,9258992
2013/7/3,5.429,5.544,5.217,5.265,18829546
2013/7/4,5.678,5.919,5.304,5.361,24618112
2013/7/5,5.592,5.736,5.525,5.621,8169771
2013/7/8,5.736,6.015,5.38,5.553,17550564
2013/7/9,5.765,5.851,5.601,5.659,7798910
2013/7/10,5.765,5.813,5.621,5.774,8713314
2013/7/11,5.755,5.919,5.198,5.755,10649655
2013/7/12,5.919,6.14,5.678,5.736,15742594
2013/7/15,6.168,6.255,5.861,5.88,14054460
2013/7/16,6.101,6.293,6.034,6.188,11829228
2013/7/17,5.851,6.082,5.794,6.063,9920202
2013/7/18,5.957,6.12,5.765,5.813,13018971
2013/7/19,5.995,6.13,5.861,5.957,8467415
2013/7/22,5.986,6.111,5.87,5.938,5952124
2013/7/23,6.12,6.13,5.909,5.967,11009538
2013/7/24,6.178,6.274,6.063,6.101,10743406
2013/7/25,6.216,6.485,6.178,6.178,10527672
2013/7/26,6.072,6.264,5.957,6.216,6312269
2013/7/29,5.832,6.101,5.765,6.005,6002713
2013/7/30,5.861,5.919,5.688,5.842,5859347
2013/7/31,5.88,5.986,5.861,5.89,4883875
2013/8/1,5.928,5.967,5.813,5.88,7185558
2013/8/2,6.072,6.14,5.899,5.995,7308274
2013/8/5,6.361,6.639,6.197,6.457,18759459
2013/8/6,6.351,6.447,6.197,6.245,11278754
2013/8/7,6.87,6.985,6.255,6.332,25301140
2013/8/8,6.947,7.081,6.678,6.774,19814075
2013/8/9,6.889,7.206,6.87,6.899,15270205
2013/8/12,7.091,7.225,6.822,6.966,18675000
2013/8/13,6.947,7.158,6.889,7.033,11250979
2013/8/14,6.937,7.1,6.802,6.899,8052658
2013/8/15,6.754,6.975,6.716,6.918,6214794
2013/8/16,6.639,6.947,6.61,6.812,11101463
2013/8/19,6.774,6.831,6.543,6.562,6955085
2013/8/20,6.658,6.889,6.581,6.774,9011119
2013/8/21,6.985,7.014,6.505,6.639,14447382
2013/8/22,7.014,7.052,6.918,7.004,7367424
2013/8/23,7.148,7.302,6.956,7.004,13937451
2013/8/26,7.408,7.446,7.11,7.148,11441258
2013/8/27,7.168,7.36,7.091,7.312,12323958
2013/8/28,6.995,7.36,6.985,7.139,10533302
2013/8/29,7.062,7.158,6.927,7.052,6126062
2013/8/30,7.052,7.139,6.975,6.975,6091296
2013/9/2,6.908,7.12,6.879,7.12,7856309
2013/9/3,7.004,7.091,6.86,6.908,5040661
2013/9/4,7.235,7.235,6.927,6.995,8664744
2013/9/5,7.734,7.955,7.158,7.235,26077025
2013/9/6,7.715,7.869,7.465,7.59,13190046
2013/9/9,7.898,8.042,7.61,7.706,10384166
2013/9/10,7.802,8.071,7.715,7.898,8668857
2013/9/11,7.542,7.927,7.494,7.782,8394877
2013/9/12,7.763,7.802,7.542,7.562,6040367
2013/9/13,8.378,8.532,7.686,7.686,20197175
2013/9/16,8.378,8.647,8.263,8.369,12758984
2013/9/17,8.714,8.983,8.167,8.33,18679736
2013/9/18,8.618,9.041,8.57,8.724,14471045
2013/9/23,8.714,8.782,8.426,8.638,10833642
2013/9/24,8.916,8.935,8.474,8.638,10740880
2013/9/25,8.542,9.012,8.522,8.916,10121424
2013/9/26,8.493,8.801,8.474,8.551,9041293
2013/9/27,8.83,9.012,8.407,8.455,13376798
2013/9/30,8.647,9.608,8.426,9.032,27841168
2013/10/8,9.022,9.493,8.551,8.561,31929626
2013/10/9,8.935,9.204,8.811,8.935,24481096
2013/10/10,9.349,9.493,8.839,8.926,28871688
2013/10/11,10.281,10.281,9.262,9.272,35063952
2013/10/14,10.511,10.655,10.223,10.473,23216291
2013/10/15,10.982,11.53,10.319,10.425,25937864
2013/10/16,11.001,11.222,10.377,10.934,21365074
2013/10/17,10.751,11.193,10.473,11.011,16316921
2013/10/18,10.742,10.924,10.386,10.924,11283280
2013/10/21,11.414,11.462,10.742,10.742,17677247
2013/10/22,11.318,12.077,11.145,11.453,27478161
2013/10/23,10.184,11.145,10.184,10.857,21976203
2013/10/24,9.877,10.069,9.233,9.704,23484109
